,工具性技能1,工具性技能2,工具性技能3,工具性技能4,工具性技能5,工具性技能6,知识/思维1,知识/思维2,知识/思维3,知识/思维4,知识/思维5,知识/思维6,语言1,语言2,语言3,资质/经验1,资质/经验2,资质/经验3,通用技能1,通用技能2,通用技能3,通用技能4,通用技能5,通用技能6,思想/品格1,思想/品格2,思想/品格3,思想/品格4,思想/品格5,其他要求1,其他要求2,其他要求3
项目调研专员/项目服务专员/项目助理/项目专员,软件开发基础,,,,,,文献检索,项目管理流程,CRM管理,项目调研,,,CET4,,,,,,,,,,,,组织协调,互动沟通协调,理解力,,,,,
项目管理管培生/项目管理培训生/项目管培生/项目经理管培生/项目经理培训生,,,,,,,项目管理技能,项目管理知识体系,,,,,TEM8,,,,,,学习,沟通协调,office办公软件,,,,执行能力,抗压性,责任感,,,,,
项目管理实施工程师/项目管理工程师/项目实施工程师/项目工程师/项目运营管理员,ORACLE,PLSQL,,,,,财税专业知识,存储过程,,,,,,,,,,,问题分析处理,沟通协调,理解力,,,,,,,,,,,
项目交付专员/项目交付工程师/项目执行员,,,,,,,通信网络架构,农业知识,,,,,,,,,,,沟通协调,汇报能力,计划管理,人际交往,,,高度额责任心,自驱力,用户服务意识,,,,,
销售VP/销售副总监/销售总监/销售经理/销售工程师/销售助理/销售专员/销售顾问/销售管理员,,,,,,,,,,,,,,,,,,,学习,沟通协调,,,,,亲和?力,销售意识,,,,口齿清晰,,
销售管理培训生/销售管培生/销售培训生/销售运营管培生,,,,,,,公司政策,DR设备,,,,,阅读英文资料,,,,,,团队协作,,,,,,热衷销售,,,,,,,
新媒体运营/新媒体运营助理,视频混剪,,,,,,文案策划,文字编辑,公众号运营,,,,,,,新媒体运营工作经验,,,,,,,,,洞察力,热点感知能力,,,,,,
行业研究员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
行政专员/行政助理,,,,,,,接待礼仪,企业行政相关政策,,,,,普通话标准,,,文字功底,,,office办公软件,团队协作,沟通协调,,,,阳光开朗,亲和?力,服务意识,,,160cm,,
学术推广代表/学术型实习生/学术研究员/研究助理,,,,,,,基本实验基础,实验设计思路,统计分析原理,,,,英文书写,,,,,,EXCEL,学习,组织协调,资源拓展整合,,,进取心,积极向上,,,,,,
业务定向生/业务管培生/业务品质管培生,开拓能力,,,,,,,,,,,,汉语交流能力,,,,,,语言表达,,,,,,勇于尝试新思路,乐于洞察新知,抗压性,跨文化适应力,亲和?力,,,
艺人助理/主播助理/经纪人,,,,,,,地方劳动法,人力资源管理各项实务的操作流程,人力资源六大板块内容,,,,普通话标准,,,,,,沟通协调,团队协作,,,,,亲和?力,表现欲,,,,,,
营销管理培训生/营销管培生/营运管理管培生,,,,,,,工程类知识储备,,,,,,英语四级,,,文字功底,,,沟通协调,逻辑思考,报告撰写,,,,,,,,,,,
硬件工程师,PCB绘制软件,AltiumDesigner,PADS,ARM,Cadenceirun,,DSP,模电/数电基础,模拟电路设计,数字滤波器,产品需求,,,,,,,,,,,,,,,,,,,,,
用户界面开发工程师/web前端工程师,JavaScript,AngularJS,Ajax,CSS3,html5,,react技术栈,Vue,UE4,,,,,,,,,,,,,,,,,,,,,,,
游戏场景设计师/游戏角色设计师/游戏动作设计师/游戏界面设计师/游戏特效设计师/游戏设计师/游戏原画设计师,3dsMAX,MAYA,Photoshop,Unity3D引,Zbrush,手绘板,声学概念,,,,,,,,,美术功底,,,,,,,,,想象力,,,,,,,
运维工程师/运维开发工程师,linux,Java,Mysql,python,Xshell,Zabbix,Ngnix,RedHat,docker,,TCP,,,,,,,,,,,,,,,,,,,,,
运营管理管培生/运营管理培训生/运营管培生专员/运营经理管培生,,,,,,,电子商务平台,用户需求意识,,,,,,,,专业等级证书,,,数据分析,逻辑思考,落地执行能力,文案写作,,,服务意识,诚实守信,,,,,,
招聘管理培训生,,,,,,,常用面试方法,招聘漏斗分析法,谈判技巧,,,,,,,文字功底,,,沟通协调,ppt,,,,,爱岗敬业,抗压性,亲和?力,,,,,
质量管理工程师,AutoCad,INCA工具,PMS,CATIA,计算机软件,,电路分析基础,芯片开发制造流程,行业测试,,,,英语听说读写能力,,,,,,,,,,,,,,,,,,,
