岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
商品管理员,口齿清晰,50.455513196014955,市场趋势,29.478805945967352,各类新媒体工具,29.478805945967352,普通话标准,25.42800096804141,商品运营管理流程,24.56567162163946,珠宝行业发展趋势,21.04465611551798,文案写作,20.870843660350523,竞品商品运营情况2,19.65253729731157,创新的想法,18.424253716229593,工作负责,17.91256290115207
商家运营,想象力,8.711454279971186,创造力,8.156161702227791,系统分析,2.506728974629248,逻辑思考力,1.027353598065508,抗压性,0.7433685881293416,稳定性,0.0,,,,,,,,
国内电商运营/京东运营/拼多多运营/淘宝运营/天猫运营/阿里巴巴运营,自我激励,7.933202375517691,java语言,4.834152908322953,高度额责任心,0.9064068551832807,,,,,,,,,,,,,,
在线客服,电脑操作word,29.478805945967352,英语八级,29.47880594596735,表达产品卖点,19.652537297311568,新闻编辑,16.845031969124197,危机公关意识,14.739402972983674,普通话标准,13.903614564396909,英文沟通,13.212928493653498,网络聊天工具,9.826268648655786,强烈成功欲望,9.671763137386632,口齿清晰,9.30139589010216
地产招投标人/地产园区招商运营人员,时间管理意识,8.047080581806423,英语四级通,4.04040470826556,责任感6,2.094363495558305,极富团队合作精神,1.2449847109627712,执行力,1.2442735029634069,,,,,,,,,,
地铁安检,三观正,7.551562499407413,身材好,6.426119148314085,无慢性疾病,5.749613078577073,语言表达,1.4745088745203012,高度额责任心,1.2085424735777075,,,,,,,,,,
城市规划设计师/城市规划员,逻辑思考力,2.054707196131016,极富团队合作精神,1.4939816531553254,,,,,,,,,,,,,,,,
基金经理,公募基金行业基本情况,29.478805945967352,会计专业知识,21.313640370705155,表格处理,19.65253729731157,证券投资,10.661923824240285,交易业务,9.826268648655786,分析解决问题,6.762934646673935,化办公软件,6.045602268531758,用户服务意识,4.950130379149865,爱岗敬业,4.7298126632826865,书面表达,1.9832669968107979
备孕顾问,,,,,,,,,,,,,,,,,,,,
大数据算法工程师,数据开发经验,31.169768162400327,创新想象力,25.79395520272143,hbase,24.676143437569614,智能优化,23.95152983109847,深度学习部分算法原理,23.58304475677388,降维算法,23.58304475677388,常用机器学习算法,22.65102722484949,spark,21.389456206322002,机器学习,21.245650291658492,编码量,20.091043676819268
婚礼策划,思考总结,12.995139062896177,努力认真,0.0,,,,,,,,,,,,,,,,
媒介策划人员,热衷种草,21.249665225568528,化妆品重度用户4,21.056289961405255,喜欢研究化妆品成分,18.213998764773024,方案撰写,8.886883223140417,有计划性,8.422515984562102,逻辑性,7.37619319644017,钻研精神,6.639452201413172,ppt操作,5.350476270926978,分配时间6,4.211257992281052,创造力,3.70734622828536
媒介经理/媒介专员,项目组织,29.47880594596735,新媒体的运作规律,26.03091228460248,移动互联网行业,20.653298504629404,沟通谈判,20.23493105660385,媒介市场行情,17.802986925071846,陈述技巧,16.74572960510059,心态乐观积极,14.739402972983674,活泼开朗,13.553031453939102,媒体资源,9.826268648655784,资料收集,8.93155350388303
安全员,170cm,94.42023060347287,160cm,68.99845355685986,三观正,38.512968746977805,攻防技术,29.478805945967352,网络攻击,26.530925351370616,防御手,25.05698505407225,各种攻防技术,23.583044756773884,身材好,22.70562099070977,漏洞利用方法,22.109104459475514,语言沟通,21.189344815648727
宠物医生,数据说话,29.478805945967352,服务意识4,22.92796018019683,组织发展,22.109104459475514,语言考试证书,6.550845765770522,整合内外部资源,6.332605071112188,洞察力,5.899701244582653,为人诚信,4.978216853454547,服务意识足,2.7641650918458174,解决问题的意识,1.4052034208724102,化办公软件,0.2878858223110362
客户代表/大客户代表/客户经理,基本素质,176.87283567580414,敬业务实,176.87283567580408,年轻人,94.33217902709552,市场营销,69.45906973924468,儿童运动装备销售行业经验,58.957611891934725,产品功能,58.957611891934725,晶体行业国内外市场情况,58.9576118919347,品德素质,58.9576118919347,口齿清晰,58.90884063731368,汇报材料,58.07809081056097
家居设计师/室内设计师/精装设计师/软装设计师,趋势4,9.826268648655786,java语言,9.668305816645907,室内设计风格,9.337573176072151,设计功底,6.76415508957468,英文读写,5.692512605536289,ppt操作,2.753461472757743,执行力,0.5530104457615141,抗压性,0.16519301958429822,手绘板绘制,0.0,数据结构,0.0
导演/编导,文字创意,46.260189288721236,文字功底,38.66688358502816,尊重原,29.478805945967345,后期剪辑软件,29.478805945967345,与人沟通,24.174329091195883,职业道德,16.041857849985696,节目前后期制作流程,14.739402972983672,思考分析,13.376946012370755,改变力,12.270229128764338,发散性思维,11.91500121244244
导购,抗压性,0.0,,,,,,,,,,,,,,,,,,
工业设计师,设计分析,29.47880594596736,责任心上进心,29.47880594596736,景观工程设计绘图,29.47880594596736,概念的表达,25.26754795368631,设计相关软件,23.20618678196897,平面软件,22.458902440915818,敢于打破常规,14.477575062196507,追求像素级精神,12.633773976843147,产品设计工具,12.476941781186593,视觉表达,8.631920554071055
工程监理员/工程管理员,知识储备,26.363507296278325,工程项目实施过程,25.793955202721424,专业证书,23.583044756773877,道德品质,23.179135111686126,服务流程,21.441496328190784,net,18.124223453836173,程管理,17.040147561449388,书写分析报,14.73940297298367,python数据分析,14.738229278683297,乐观开朗,11.702844711819933
工程造价/工程预算,语言协调沟通,29.478805945967352,主动负责,13.89845153307738,乐观踏实,9.826268648655786,总结分析,5.286025080522559,数据变化敏感度,5.036797563670863,逻辑思考力,1.7122559967758466,执行力,1.6590313372845427,高度额责任心,1.2085424735777075,语言表达,0.9830059163468676,化办公软件,0.8636574669331086
带货主播,镜头感觉,12.114304653551468,学习力,7.587710551300457,正形象气质,7.023377479423566,亲和؜力,3.5155169243160214,语言组织,2.340225620858466,普通话标准,1.6250978062282104,沟通表达理,0.6648577069115945,,,,,,
平面设计师,活动影像拍摄,120.59511523350275,美术功底,110.26560563922742,平面设计用软件,85.05798634131972,平面设计技,80.21062625293867,illustrator,75.92486908441285,c4d,73.46669143850671,美术基础,59.11404857782749,制图软件,45.65198076293405,主流设计软件,42.49235225308196,设计思路,38.486218873901805
广告策划员/策划经理,文字呈现,21.056289961405255,决策力,3.87029227184089,中英文阅读,1.0097349252873886,,,,,,,,,,,,,,
广告设计师,画面处理,44.218208918951035,社交媒体使用,29.478805945967355,后期制作软件,24.358969975812773,剪辑工作,23.583044756773887,高雅的审美观,19.65253729731157,短视频玩法热点,17.687283567580412,premiere,11.346349150878869,线上运维经验,8.831025165096774,图片素材,8.390604449852034,手绘板绘制,6.450842335986629
广告销售/媒体销售,负责心,57.11637876786258,活动组织,29.478805945967366,电脑基本操作2,23.449505163302405,沟通谈判,11.037235121783917,市场嗅觉灵敏,10.508799619597328,操作系统的基础知识,10.076244023958143,挖掘客户,8.422515984562102,处事灵活度,6.993421416500024,思维敏捷,5.871196919391084,销售力,5.55332622181581
底盘工程师,中英文读写,33.361969406647866,汽车理论知识,32.995334601900495,维绘图设计软件,29.478805945967352,代码生成,26.20338306308209,电机控制,20.361951390824984,创新意识,12.10571702153946,调试器,11.933930331631398,专业知识,9.77339118709817,电子技术知识,7.861014918924629,单片机,7.8408845213892935
