岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
团队经理,搭班子,751.872329587943,四级水平,512.640224719052,v思路,473.20636127912485,ruby,469.48650281411625,生活工作习惯,425.0638581162745,tornado,386.67719807379905,bash,366.5720498918013,正能量,339.6272228881213,v非常,315.47090751941647,算法知识,290.9850567287177
园林/景观工程师,景观工程设计绘图,919.9823117117176,专业知识,288.3638398467997,环境管理体系运作,136.7040599250805,创新力,133.39592527220364,英语沟通,107.94109406258252,物业管理服务流程,102.52804494381039,团队协作意识,51.405637998217514,沟通表达理,36.51226970116516,极富团队合作精神,25.628519669930125,创新意识,0.0
国内电商运营,敏捷的洞察力,773.1046844799414,策划执行,668.3309596337267,电子类知识,632.8718717421389,建立关系,609.1701048850456,目标敏感,411.18622475478105,商务谈判,393.47544542589645,战斗意志,253.1487486968556,信息收集整合,241.5574465836233,游戏运营有浓厚兴趣,240.45146996221507,细致严谨,233.33669455796112
国际产品专员,交流表达,1313.1659312280785,敏捷的洞察力,708.6792941066129,英语写作,532.414631983093,听说读写,497.052697378782,excleword,456.1870596389599,英语沟通,392.5130693184817,英语四级通,377.1559899350199,英语水平,375.35924712641213,英语邮件往来,351.5247255216356,英文读写,322.89473799041343
国际贸易,微生物专业基础,649.3442846441324,肠道菌群作用机理,432.8961897627549,热衷种草,382.8650914940374,各种外贸单据的制作,307.5841348314311,跟进意识,230.68810112357332,喜欢研究化妆品成分,191.4325457470187,主流美妆营销媒体,190.5701109954067,美妆产品使用,156.9614364877823,媒体特征,152.45608879632536,核心功能成分,130.8011970731519
图像处理算法工程师,图像处理,770.1883383442449,计算机科学知识体系,683.5202996254026,图像处理算法,622.375592151469,caffe,570.0784045018622,技术英语阅读,471.62900674152775,图像处理专业知识基础,444.28819475651164,sensor成像原理,410.11217977524154,雷达系统的工作原理,410.11217977524154,图像去噪,403.1995968755858,halcon,386.5425644881102
土木/土建/结构工程师,五金模具结构,2118.9129288387476,表面处理工艺,2010.9995724433436,塑成型工艺,1742.6883668967976,工程设计软件,1408.0518172283294,飞机结构设计相关软件,1367.0405992508051,各向同性材料,1332.864584269535,常用材料特性,1319.3305818229337,产品开发流程,1252.6128914456976,玻璃纤维,1225.7441901042432,环保相关的法规,1184.768519350698
在线运营,计算机理论,943.1238741390631,计算机软件,788.6747275394587,专业课程,751.8723295879429,算考试,717.6963146066727,笔记本,615.7321948414001,springcloud,532.5537623629709,db2,525.1894674773893,hbase,523.1604450440709,用户画像,516.5986798397802,同类软件,492.13461573028974
地产/园区招商运营,乐观阳光,767.8625360417684,自我调节工作压力,341.7601498127013,与人沟通,132.2785902010753,强烈成功欲望,114.94954467660965,灵活创新,102.52804494381039,房地产基础知识,86.27655677082251,工作热情,76.29534983195381,乐于挑战,43.97347436310908,执行力,41.89305637757966,内驱力,32.553111734374134
城市经理,地理信息,888.5763895130232,分享个人观点,820.2243595504827,工作适应性•较强的分析,492.13461573028985,诚信意识,328.08974382019323,洞察力,174.55468049492333,商业意识,137.00366417326532,处事灵活度,131.71591093188914,为人诚信,130.02806691338654,整合内外部资源,119.06724622584328,计算机软件,77.01901636127526
