公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
,方正中期期货,民营企业,500-2000人,金融/经济/投资/财会,13,北京,北京,6
,方海互娱,民营企业,15-50人,互联网/游戏/软件,97,广东,广州,9
,方维投资,民营企业,500-2000人,房产/家居/物业/建筑,18,四川省,成都市,6
,方维知识产权,民营企业,15-50人,企业服务/咨询,25,广东,广州,9
,施耐德电气,外资企业,2000人以上,制造/汽车/机械,1554,北京,北京,5
,施能康,外资企业,15-50人,医疗/健康/制药/生物,22,江苏,苏州市,9
,旁白VoiceOver,民营企业,少于15人,不限,57,北京,北京,10
,旁门左道PPT,民营企业,15-50人,互联网/游戏/软件,39,河南,郑州,9
,无锡中正锅炉,民营企业,150-500人,环保/化工/能源,90,江苏,无锡市,7
,无锡云九,民营企业,15-50人,互联网/游戏/软件,14,江苏,无锡,9
,无锡恒程,民营企业,15-50人,咨询/企业服务,25,江苏,无锡,9
,无锡药明康德,股份制企业,500-2000人,医疗/健康/制药/生物,11,江苏省,无锡市,6
,无限life,民营企业,15-50人,房产/家居/物业/建筑,18,北京,北京,9
,日丰电缆,股份制企业,2000人以上,汽车/机械/制造,17,广东,中山市,5
,日产通商,外资企业,150-500人,交通/贸易/物流,2,广东,广州,7
,日出实业,民营企业,150-500人,环保/化工/能源,96,浙江,宁波市,7
,日立建机（中国）有限公司,外资企业,2000人以上,汽车/机械/制造,149,安徽,合肥,5
,日立电梯,外资企业,2000人以上,制造/汽车/机械,32,广东省,广州市,5
,日铁软件,外资企业,150-500人,软件/互联网/游戏,17,上海,上海,7
,旭诚科技,民营企业,150-500人,化工/能源/环保,12,广东,广州,7
,旭辉申城设计,民营企业,150-500人,房产/家居/建筑/物业,154,上海,上海,7
,时代中国佛山公司,民营企业,2000人以上,房产/家居/建筑/物业,19,广东,佛山市,5
,时代传浮,外资企业,15-50人,软件/互联网/游戏,96,北京,北京,9
,时代伯乐,合伙企业,50-150人,金融/经济/投资/财会,9,广东省,深圳市,8
,时代新安,民营企业,150-500人,汽车/机械/制造,62,江苏,苏州,7
,时代高科,民营企业,50-150人,医疗/健康/制药/生物,8,广东,深圳,8
