公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
安踏,安踏体育用品集团,民营企业,2000人以上,百货/快消/批发/零售,502,福建,厦门,3
完美世界/完美世界影视,完美世界,民营企业,50-150人,游戏/软件/互联网,98,重庆,市辖区,4
宜信,宜信财富,民营企业,2000人以上,互联网/游戏/软件,10,北京,北京,1
立白,宝凯道融（立白金控）,民营企业,50-150人,投资/财会/经济/金融,67,广东省,广州市,2
宝莱特,宝莱特,股份制企业,500-2000人,制药/健康/医疗/生物,306,广东省,珠海市,3
宝马,宝马诚迈信息技术有限公司,外资企业,150-500人,互联网/游戏/软件,25,江苏,南京,1
宝龙地产控股,宝龙地产,民营企业,2000人以上,物业/家居/房产/建筑,55,上海,上海,4
实习僧,实习僧校招内推助手,民营企业,50-150人,游戏/软件/互联网,1117,北京,北京,4
宠爱国际,宠爱国际,民营企业,500-2000人,医疗/健康/制药/生物,4,北京,北京,1
寒武纪,寒武纪行歌,民营企业,50-150人,电子/通信/硬件,119,江苏,南京,1
尊宝比萨,尊宝比萨,民营企业,2000人以上,餐饮/酒店/旅游/娱乐,3,广东,广州市,2
小熊电器,小熊电器,民营企业,2000人以上,制造/汽车/机械,50,广东,佛山,3
小米/小米直播/小米金融,小米,民营企业,2000人以上,硬件/软件/互联网/通信/电子/游戏,3,北京/全国,北京,4
小鹏汽车,小鹏汽车,民营企业,2000人以上,互联网/游戏/软件,28,广东,广州,1
顺丰,山东顺丰速运有限公司,民营企业,2000人以上,交通/贸易/物流,20,山东,济南,4
帆软,帆软,民营企业,500-2000人,互联网/游戏/软件,60,,,4
帆软,帆软软件,民营企业,500-2000人,游戏/软件/互联网,642,江苏,无锡,4
平安银行,平安银行,股份制企业,2000人以上,金融/经济/投资/财会,15,重庆市,重庆,1
平安银行,平安银行福州分行,股份制企业,500-2000人,金融/经济/投资/财会,28,福建,福州市,1
链家,广东链家房地产有限公司,民营企业,2000人以上,房产/家居/物业/建筑,10,广东,广州市,1
广发证券,广发证券,股份制企业,2000人以上,投资/财会/经济/金融,304,,,1
广和通,广和通,股份制企业,2000人以上,电子/通信/硬件,9,广东,深圳,1
乐有家,广州乐有家,民营企业,2000人以上,物业/家居/房产/建筑,19,广东,广州市,1
顺丰,广州顺丰,股份制企业,2000人以上,交通/物流/贸易,44,广东,广州,4
龙湖,广州龙湖,民营企业,2000人以上,物业/家居/房产/建筑,29,广东,广州,4
广电运通,广电运通•智能科技,国有企业,150-500人,互联网/游戏/软件,149,广东,广州,1
广联达,广联达,股份制企业,2000人以上,游戏/软件/互联网,72,辽宁/北京,沈阳市/北京,2
广联达,广联达天津分公司,股份制企业,2000人以上,互联网/游戏/软件,20,天津,天津,2
广联达,广联达山西分支,民营企业,2000人以上,互联网/游戏/软件,17,山西,太原,2
度小满金融,度小满,民营企业,2000人以上,游戏/软件/互联网,368,全国,,1
康师傅,康师傅,外资企业,2000人以上,百货/快消/批发/零售,46,湖北/上海,武汉/上海,3
康师傅,康师傅饮品,外资企业,500-2000人,快消/百货/批发/零售,6,河南,郑州,3
建发房地产,建发,民营企业,150-500人,交通/贸易/物流,7,上海,上海,4
开课吧,开课吧,民营企业,2000人以上,培训/教育,173,北京,北京,1
弘阳地产,弘阳地产,民营企业,500-2000人,房产/家居/物业/建筑,12,江苏省,南京市,4
影谱科技,影谱科技,民营企业,150-500人,互联网/游戏/软件,12,上海,上海,1
得物,得物,民营企业,500-2000人,互联网/游戏/软件,2,广东,广州,3
得物,得物App,民营企业,500-2000人,互联网/游戏/软件,29,上海,上海,3
微创医疗,微创,民营企业,150-500人,医疗/健康/制药/生物,88,上海,上海,1
微软,微软,外资企业,2000人以上,游戏/软件/互联网,64,上海,上海,4
德佑/链家,德佑房地产（上海链家）,民营企业,2000人以上,物业/家居/房产/建筑,35,上海,上海,4
德勤摩立特,德勤,外资企业,2000人以上,企业服务/咨询,76,辽宁,大连,1
快手/快手极速版,快手,民营企业,2000人以上,游戏/软件/互联网,101,北京,北京,4
深思创芯,思创,民营企业,50-150人,电子/通信/硬件,4,湖北省,武汉市,2
恒瑞医药/江苏恒瑞医药股份,恒瑞医药,股份制企业,2000人以上,医疗/健康/制药/生物,14,上海,上海,4
恒辉物业,恒辉,合伙企业,50-150人,快消/百货/批发/零售,46,江苏,南京,3
恺英网络,恺英网络,民营企业,500-2000人,互联网/游戏/软件,128,上海,上海,3
乐有家,成都乐有家,民营企业,2000人以上,房产/家居/物业/建筑,11,四川,四川,1
