"所属公司","公司性质","公司规模","公司所在行业","公司所在地","职位所在地","JD数量"
"光色科技","民营企业","15-50人","汽车/机械/制造","上海市/上海","宝山区逸仙路1328号新业坊（地铁殷高西路站）","25"
"D5渲染器","民营企业","50-150人","互联网/游戏/软件","江苏/南京","江苏省南京市秦淮区中山东路532-2号金蝶软件园A4栋1-2F","41"
"大雄陈列视觉设计(深圳)有限公司","民营企业","15-50人","广告/传媒/公关/展览","广东/深圳","深圳市宝安区福永智美汇志B1栋","18"
"Pick & Enlarge","股份制企业","15-50人","广告/传媒/公关/展览","上海市/上海","上海市黄浦区黄陂南路838号中海国际中心B座18楼","20"
"秀程图书","民营企业","150-500人","房产/家居/物业/建筑",,"河南省郑州市中原区华山路淮河路交汇处","67"
"绵阳逸品装饰装修工程有限公司","民营企业","50-150人","房产/家居/物业/建筑","四川/绵阳","绵阳涪城区临园路东段68号富临大都会7-2-606","6"
"盛世创富","民营企业","150-500人","金融/经济/投资/财会","广州","广东省广州市海珠区万胜广场C塔18层全层","39"
"想念","外资企业","2000人以上","农林牧渔/其他","南阳","河南省南阳市卧龙区龙升工业园","282"
"水滴公司","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","利泽中路2号望京科技园C座","215"
"安利（中国）","外资企业","2000人以上","快消/百货/批发/零售","广东",,"381"
"杭州猎豆","民营企业","150-500人","互联网/游戏/软件","浙江/杭州","浙江省杭州市余杭区炬华智慧产业园4号楼8楼","44"
"杭州以勒","民营企业","50-150人","化工/能源/环保","浙江/杭州","浙江省杭州市拱墅区蓝天商务中心1502","16"
"思庐哲学","民营企业","50-150人","教育/培训","上海市/上海","上海普陀区华东师范大学中北校区上海市普陀区中山北路3663号","20"
"优护优家","民营企业","150-500人","交通/贸易/物流","江苏/苏州","苏州昆山花桥光明路505号建滔广场2号楼21楼","39"
"零壹零陆","外资企业","15-50人","互联网/游戏/软件","山东/青岛","山东省青岛市城阳区万科魅力新城二期23号商务楼","14"
"年糕妈妈","民营企业","150-500人","互联网/游戏/软件","杭州","浙江省杭州市西湖区莲花商务中心","44"
"良研硕创教育","民营企业","少于15人","教育/培训","山西/太原","太原市南内环2号线","11"
"四海诚品","中外合资企业","15-50人","交通/贸易/物流","广东/深圳","深圳市南山区前湾一路前海深港青年梦工场(梦海-地铁站)","83"
"维谛技术","外资企业","2000人以上","汽车/机械/制造","广东/深圳","深圳市南山区维谛技术有限公司B2栋","25"
"长沙潞帆","民营企业","50-150人","不限","湖南/长沙","湖南省长沙市岳麓区银盆南路奥克斯广场环球b座825","16"
"旺旺","外资企业","2000人以上","快消/百货/批发/零售","上海","上海市闵行区红松东路1088号","47"
"FM","民营企业","50-150人","快消/百货/批发/零售","四川/成都","成都市武侯区桐梓林北路","17"
"读书时(天津)电子商务有限公司","民营企业","15-50人","教育/培训","天津市/天津","天津市河西区中海财富中心508","10"
"知助","民营企业","50-150人","企业服务/咨询","湖南/长沙","湖南省长沙市岳麓区麓谷林语I区3B写字楼10036","29"
"幻时空","民营企业","150-500人","互联网/游戏/软件","江苏/南京","南京市浦口区星智汇商务花园9栋4层402","9"
"21世纪教育研究院",,"15-50人","教育/培训","北京","深圳市福田区侨香三道国华大厦20D","14"
"Insta360影石","民营企业","500-2000人","电子/通信/硬件","广东/深圳","深圳宝安区前海人寿金融中心T211","237"
"皮爷咖啡","外资企业","500-2000人","快消/百货/批发/零售","全国","上海市徐汇区东湖路9号18楼","20"
"乾派","民营企业","500-2000人","互联网/游戏/软件","深圳","深圳市福田区文化创意园A座2楼","41"
"幂率广告","民营企业","15-50人","互联网/游戏/软件","上海","苏州市工业园区旺墩路269号圆融星座33楼（优客工场）","3"
"绍兴华思文化传媒","民营企业","50-150人","广告/传媒/公关/展览","浙江/绍兴","柯桥区促进大厦1101室","8"
"克里斯曼森","民营企业","少于15人","快消/百货/批发/零售","北京市/北京","北京市朝阳区八里庄西里97号院住邦2000商务中心4号楼1601","4"
